fecha,tipo,modificador,veces,renglones,unidades_afectadas
2026-03-14,PETICION,Sin Aguacate,2,2,2.00
2026-03-14,PETICION,Sin Crema,6,6,6.00
2026-03-14,PETICION,Sin Frijoles,1,1,1.00
2026-03-14,PETICION,Sin Lechuga,2,2,2.00
2026-03-14,PETICION,Sin Queso,1,1,1.00
2026-03-14,PETICION,Sin Tomate,1,1,1.00
2026-03-14,PETICION,Sin Verduras,2,2,3.00
2026-03-14,VARIANTE,Coca Cola,2,2,13.00
2026-03-14,VARIANTE,Coca Cola Sin Azúcar,1,1,9.00
2026-03-14,VARIANTE,Coca Light,1,1,1.00
2026-03-14,VARIANTE,Delaware,1,1,2.00
2026-03-14,VARIANTE,Lechera,1,1,1.00
2026-03-14,VARIANTE,Lechero,1,1,1.00
2026-03-14,VARIANTE,Mantequilla,1,1,1.00
2026-03-14,VARIANTE,Natural,1,1,1.00
2026-03-14,VARIANTE,Normal,2,2,57.00
2026-03-14,VARIANTE,Pan Grande Pieza,1,1,8.00
2026-03-15,EXTRA,Bistec (1 pza.),9,9,10.00
2026-03-15,EXTRA,Huevo Estrellado Cocido (2 pzas.),2,2,2.00
2026-03-15,EXTRA,Huevo Estrellado Medio (2 pzas.),2,2,2.00
2026-03-15,EXTRA,Huevo Estrellado Tierno (2 pzas.),1,1,1.00
2026-03-15,EXTRA,Huevo Revuelto (2 pzas.),5,5,8.00
2026-03-15,EXTRA,Queso,7,5,5.00
2026-03-15,EXTRA,Queso Extra Pieza,6,2,2.00
2026-03-15,EXTRA,Relleno de Guisados,5,5,5.00
2026-03-15,PETICION,En dos platos,1,1,1.00
2026-03-15,PETICION,Sin Aguacate,1,1,1.00
2026-03-15,PETICION,Sin Crema,9,9,9.00
2026-03-15,PETICION,Sin Frijoles,1,1,1.00
2026-03-15,PETICION,Sin Lechuga,2,2,2.00
2026-03-15,PETICION,Sin Tomate,5,5,5.00
2026-03-15,PETICION,Verdura Aparte,1,1,1.00
2026-03-15,VARIANTE,Coca Cola,2,2,7.00
2026-03-15,VARIANTE,Coca Cola Sin Azúcar,1,1,5.00
2026-03-15,VARIANTE,Coca Light,1,1,4.00
2026-03-15,VARIANTE,Crema,1,1,1.00
2026-03-15,VARIANTE,Leche Aparte,2,2,5.00
2026-03-15,VARIANTE,Lechera,1,1,1.00
2026-03-15,VARIANTE,Lechero,1,1,1.00
2026-03-15,VARIANTE,Mantequilla,1,1,3.00
2026-03-15,VARIANTE,Naturales,1,1,1.00
2026-03-15,VARIANTE,Normal,2,2,50.00
2026-03-15,VARIANTE,Pan Grande Pieza,1,1,8.00
2026-03-16,EXTRA,Bistec (1 pza.),9,9,11.00
2026-03-16,EXTRA,Frijoles,2,2,4.00
2026-03-16,EXTRA,Huevo Estrellado Cocido (2 pzas.),1,1,1.00
2026-03-16,EXTRA,Huevo Estrellado Medio (2 pzas.),2,2,2.00
2026-03-16,EXTRA,Huevo Revuelto (2 pzas.),1,1,2.00
2026-03-16,EXTRA,Queso,1,1,1.00
2026-03-16,PETICION,Doradita,1,1,2.00
2026-03-16,PETICION,Escurrida,2,2,2.00
2026-03-16,PETICION,Poca Lechuga,2,2,3.00
2026-03-16,PETICION,Sin Aguacate,1,1,1.00
2026-03-16,PETICION,Sin Crema,3,3,3.00
2026-03-16,PETICION,Sin Frijoles,2,2,2.00
2026-03-16,PETICION,Sin Lechuga,2,2,2.00
2026-03-16,PETICION,Sin Tomate,3,3,3.00
2026-03-16,PETICION,Sin Verduras,2,2,2.00
2026-03-16,VARIANTE,Coca Cola,2,2,7.00
2026-03-16,VARIANTE,Coca Cola Sin Azúcar,2,2,3.00
2026-03-16,VARIANTE,Crema,1,1,1.00
2026-03-16,VARIANTE,Delaware,1,1,1.00
2026-03-16,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-16,VARIANTE,Fresca,1,1,1.00
2026-03-16,VARIANTE,Lechera,2,2,2.00
2026-03-16,VARIANTE,Lechero,1,1,1.00
2026-03-16,VARIANTE,Mantequilla,1,1,6.00
2026-03-16,VARIANTE,Migada Delgada,1,1,1.00
2026-03-16,VARIANTE,Normal,2,2,43.00
2026-03-16,VARIANTE,Pan Grande Pieza,1,1,5.00
2026-03-16,VARIANTE,Poca leche,1,1,2.00
2026-03-17,EXTRA,Bistec (1 pza.),2,2,2.00
