periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2026-02,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,98.00,,8620.00,8620.00,51,4,33,87.96
2026-01,Salsa Verde,Guarnicion,ORDEN,10.00,,0.00,0.00,6,0,0,0.00
2024-07,Aguacate Extra,Otros,ORDEN,3.00,,45.00,45.00,3,0,0,15.00
2024-11,Encremadas,Encremada,ORDEN,22.00,,3634.00,3634.00,21,10,2,165.18
2025-07,Pieza Extra Quesadilla,Quesadilla,ORDEN,5.00,,160.00,160.00,4,0,0,32.00
2025-06,Jamaica 1 Litro,Bebida,ORDEN,28.00,,1668.00,1668.00,18,0,0,59.57
2023-08,Enchiladas Mixtas,Enchilada,ORDEN,1.00,,102.00,102.00,1,0,0,102.00
2024-02,Bocoles,Bocol,PIEZA,1924.00,1924.00,33322.10,33380.00,465,11,3,17.32
2025-03,Orden de Guisado de Carne,Guarnicion,ORDEN,4.00,,520.00,520.00,4,0,0,130.00
2025-02,Pieza Extra Empanada,Empanada,ORDEN,2.00,,62.00,62.00,2,0,0,31.00
2024-05,Huevo Estrellado 2 pzas.,Huevos,ORDEN,1.00,,28.00,28.00,1,0,0,28.00
2023-11,Café Negro,Bebida,ORDEN,171.00,,5157.00,5157.00,29,0,0,30.16
2024-08,Huevos con Deshebrada,Huevos,ORDEN,24.00,,2746.00,2746.00,16,0,0,114.42
2026-01,Zanahorias p/llevar,Otros,ORDEN,18.00,,0.00,0.00,8,0,0,0.00
2024-09,Ciel 600 ml.,Bebida,ORDEN,49.00,,1519.00,1519.00,22,0,0,31.00
2026-08,Salsa Roja,Guarnicion,ORDEN,14.00,,140.00,140.00,8,0,0,10.00
2025-05,Enchiladas Rojas,Enchilada,ORDEN,81.00,,13868.00,13868.00,64,39,16,171.21
2025-03,Orden de Guisado Normal,Guarnicion,ORDEN,11.00,,1265.00,1265.00,9,0,0,115.00
