fecha,extra,producto,porciones,pedidos,unidades,es_segundo_guiso,grupo,agrupado,real
2024-12-13,Bistec (1 pza.),1/2 Encremadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-13,Bistec (1 pza.),Enchiladas Mixtas,2,2,2.0,f,,Bistec (1 pza.),t
2024-12-13,Bistec (1 pza.),Enchiladas Picositas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-13,Bistec (1 pza.),Enchiladas Rojas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-13,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-13,Frijoles,Empanadas (4 pzas.),1,1,1.0,f,,Frijoles,t
2024-12-13,Frijoles,Tacos de Maiz,1,1,1.0,f,,Frijoles,t
2024-12-13,Huevo Estrellado Cocido (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-13,Huevo Estrellado Cocido (2 pzas.),1/2 Enmoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-13,Huevo Estrellado Cocido (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-13,Huevo Estrellado Cocido (2 pzas.),Quesadillas (4 pzas.),1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-13,Huevo Estrellado Medio (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-13,Huevo Estrellado Medio (2 pzas.),1/2 Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-13,Huevo Revuelto (2 pzas.),Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-13,Huevo Revuelto (2 pzas.),Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-13,Huevo Revuelto (p/relleno),Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-13,Queso,Empanadas (4 pzas.),1,1,1.0,f,,Queso,f
2024-12-13,Relleno de Guisados,1/2 Entomatadas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-14,Bistec (1 pza.),1/2 Enchiladas Rojas,2,2,3.0,f,,Bistec (1 pza.),t
2024-12-14,Bistec (1 pza.),1/2 Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-14,Bistec (1 pza.),Enchiladas Rojas,2,2,2.0,f,,Bistec (1 pza.),t
2024-12-14,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-14,Frijoles,Bocoles,3,3,3.0,f,,Frijoles,t
2024-12-14,Huevo Estrellado Ciego (2 pzas.),1/2 Enchiladas Mixtas (4 Piezas),1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-14,Huevo Estrellado Cocido (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-14,Huevo Estrellado Cocido (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-14,Huevo Estrellado Medio (2 pzas.),Enfrijoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-14,Huevo Estrellado Tierno (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-14,Huevo Revuelto (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-14,Huevo Revuelto (2 pzas.),1/2 Entomatadas,2,2,2.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-14,Huevo Revuelto (2 pzas.),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-14,Huevo Revuelto (p/relleno),1/2 Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-15,Bistec (1 pza.),1/2 Encremadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-15,Bistec (1 pza.),1/2 Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-15,Bistec (1 pza.),Enmoladas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-15,Bistec (1 pza.),Entomatadas,2,2,2.0,f,,Bistec (1 pza.),t
2024-12-15,Frijoles,Tacos de Maiz,1,1,1.0,f,,Frijoles,t
2024-12-15,Huevo Estrellado Cocido (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-15,Huevo Estrellado Medio (2 pzas.),1/2 Enchiladas Rojas,1,1,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-15,Huevo Estrellado Medio (2 pzas.),Enchiladas Rojas,1,1,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-15,Huevo Revuelto (2 pzas.),1/2 Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-15,Huevo Revuelto (2 pzas.),1/2 Encremadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-15,Huevo Revuelto (2 pzas.),Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-15,Huevo Revuelto (p/relleno),1/2 Enmoladas,1,1,2.0,f,,Huevo Revuelto (p/relleno),t
2024-12-15,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-15,Queso,Empanadas (4 pzas.),3,2,2.0,f,,Queso,f
2024-12-16,Bistec (1 pza.),1/2 Enchiladas Rojas,1,1,4.0,f,,Bistec (1 pza.),t
2024-12-16,Bistec (1 pza.),Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-16,Huevo Estrellado Cocido (2 pzas.),1/2 Enmoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-16,Huevo Estrellado Cocido (2 pzas.),Enchiladas Picositas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-16,Huevo Estrellado Cocido (2 pzas.),Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-16,Huevo Estrellado Medio (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-16,Huevo Estrellado Tierno (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-16,Huevo Revuelto (2 pzas.),1/2 Entomatadas,1,1,2.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-16,Huevo Revuelto (p/relleno),1/2 Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-16,Huevo Revuelto (p/relleno),Enchiladas Rojas,2,2,2.0,f,,Huevo Revuelto (p/relleno),t
2024-12-16,Queso,1/2 Empanadas (2 pzas.),3,3,3.0,f,,Queso,f
2024-12-16,Queso,Empanadas (4 pzas.),1,1,1.0,f,,Queso,f
2024-12-16,Relleno de Guisados,1/2 Enchiladas Rojas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-16,Relleno de Guisados,Enchiladas Picositas,1,1,1.0,f,,Relleno de Guisados,t
